CMS Certification Number,Facility Name,City,State,System Affiliation,Type of Facility,Key
330074,F.F. Thompson Hospital,Canandaigua,NY,"The University of Rochester Medical Center - Rochester, NY",Short Term Acute Care,330074_F.F. Thompson Hospital
330078,Sisters of Charity Hospital,Buffalo,NY,"Catholic Health System - Buffalo, NY",Short Term Acute Care,330078_Sisters of Charity Hospital
330079,Adirondack Medical Center - Sarnac Lake,Saranac Lake,NY,"Not In Any System - ,",Short Term Acute Care,330079_Adirondack Medical Center - Sarnac Lake
330080,NYC Health + Hospitals Lincoln,Bronx,NY,"NYC Health + Hospitals - New York, NY",Short Term Acute Care,330080_NYC Health + Hospitals Lincoln
330084,Alice Hyde Medical Center,Malone,NY,"The University of Vermont Health Network - Burlington, VT",Short Term Acute Care,330084_Alice Hyde Medical Center
330085,A.O. Fox Hospital,Oneonta,NY,"Bassett Healthcare Network - Cooperstown, NY",Short Term Acute Care,330085_A.O. Fox Hospital
330086,Montefiore Mount Vernon Hospital,Mount Vernon,NY,"Montefiore Health System - Bronx, NY",Short Term Acute Care,330086_Montefiore Mount Vernon Hospital
330088,Stony Brook Eastern Long Island Hospital,Greenport,NY,"Stony Brook Medicine - Stony Brook, NY",Short Term Acute Care,330088_Stony Brook Eastern Long Island Hospital
330090,Arnot Ogden Medical Center,Elmira,NY,"Arnot Health - Elmira, NY",Short Term Acute Care,330090_Arnot Ogden Medical Center
330091,Sisters of Charity Hospital - Saint Joseph Campus,Buffalo,NY,"Catholic Health System - Buffalo, NY",Short Term Acute Care,330091_Sisters of Charity Hospital - Saint Joseph Campus
330094,Columbia Memorial Hospital,Hudson,NY,"Not In Any System - ,",Short Term Acute Care,330094_Columbia Memorial Hospital
330096,Jones Memorial Hospital,Wellsville,NY,"The University of Rochester Medical Center - Rochester, NY",Short Term Acute Care,330096_Jones Memorial Hospital
33009F,Albany Stratton VA Medical Center,Albany,NY,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,33009F_Albany Stratton VA Medical Center
330100,The New York Eye and Ear Infirmary,New York,NY,"Mount Sinai Health System - New York, NY",Short Term Acute Care,330100_The New York Eye and Ear Infirmary
330101,New York Presbyterian/Weill Cornell Medical Center,New York,NY,"New York-Presbyterian Healthcare System - New York, NY",Short Term Acute Care,330101_New York Presbyterian/Weill Cornell Medical Center
330102,Kenmore Mercy Hospital,Kenmore,NY,"Catholic Health System - Buffalo, NY",Short Term Acute Care,330102_Kenmore Mercy Hospital
330103,Olean General Hospital,Olean,NY,"Kaleida Health - Buffalo, NY",Short Term Acute Care,330103_Olean General Hospital
330104,Montefiore Nyack Hospital,Nyack,NY,"Montefiore Health System - Bronx, NY",Short Term Acute Care,330104_Montefiore Nyack Hospital
330106,North Shore University Hospital,Manhasset,NY,"Northwell Health - Great Neck, NY",Short Term Acute Care,330106_North Shore University Hospital
330107,Peconic Bay Medical Center,Riverhead,NY,"Northwell Health - Great Neck, NY",Short Term Acute Care,330107_Peconic Bay Medical Center
330108,Saint Joseph's Hospital,Elmira,NY,"Arnot Health - Elmira, NY",Short Term Acute Care,330108_Saint Joseph's Hospital
33010F,Batavia VA Medical Center,Batavia,NY,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,33010F_Batavia VA Medical Center
330111,Bertrand Chaffee Hospital,Springville,NY,"Not In Any System - ,",Short Term Acute Care,330111_Bertrand Chaffee Hospital
330115,Oneida Healthcare Auxiliary,Oneida,NY,"Not In Any System - ,",Short Term Acute Care,330115_Oneida Healthcare Auxiliary
330119,Lenox Hill Hospital,New York,NY,"Northwell Health - Great Neck, NY",Short Term Acute Care,330119_Lenox Hill Hospital
33011F,Bath VA Medical Center,Bath,NY,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,33011F_Bath VA Medical Center
330122,St. John's Riverside Hospital ParkCare Pavilion,Yonkers,NY,"St. John's Riverside Hospital - Westchester, NY",Short Term Acute Care,330122_St. John's Riverside Hospital ParkCare Pavilion
330125,Rochester General Hospital,Rochester,NY,"Rochester Regional Health System - Rochester, NY",Short Term Acute Care,330125_Rochester General Hospital
330126,Garnet Health Medical Center,Middletown,NY,"Garnet Health - Middletown, NY",Short Term Acute Care,330126_Garnet Health Medical Center
330127,NYC Health + Hospitals Jacobi,Bronx,NY,"NYC Health + Hospitals - New York, NY",Short Term Acute Care,330127_NYC Health + Hospitals Jacobi
330128,NYC Health + Hospitals Elmhurst,Elmhurst,NY,"NYC Health + Hospitals - New York, NY",Short Term Acute Care,330128_NYC Health + Hospitals Elmhurst
33012F,Buffalo VA Medical Center,Buffalo,NY,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,33012F_Buffalo VA Medical Center
330135,Bon Secours Community Hospital,Port Jervis,NY,"Not In Any System - ,",Short Term Acute Care,330135_Bon Secours Community Hospital
330136,Bassett Medical Center,Cooperstown,NY,"Bassett Healthcare Network - Cooperstown, NY",Short Term Acute Care,330136_Bassett Medical Center
33013F,Canandaigua VA Medical Center,Canandaigua,NY,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,33013F_Canandaigua VA Medical Center
330140,Saint Joseph's Hospital Health Center,Syracuse,NY,"Trinity Health - Livonia, MI",Short Term Acute Care,330140_Saint Joseph's Hospital Health Center
330141,Long Island Community Hospital,Patchogue,NY,"Not In Any System - ,",Short Term Acute Care,330141_Long Island Community Hospital
330144,Ira Davenport Memorial Hospital,Bath,NY,"Arnot Health - Elmira, NY",Short Term Acute Care,330144_Ira Davenport Memorial Hospital
330151,Saint James Hospital,Hornell,NY,"The University of Rochester Medical Center - Rochester, NY",Short Term Acute Care,330151_Saint James Hospital
330153,Ellis Hospital,Schenectady,NY,"Ellis Medicine - Schenectady, NY",Short Term Acute Care,330153_Ellis Hospital
330154,Memorial Sloan-Kettering Cancer Center,New York,NY,"Not In Any System - ,",Short Term Acute Care,330154_Memorial Sloan-Kettering Cancer Center
330157,Samaritan Medical Center,Watertown,NY,"Not In Any System - ,",Short Term Acute Care,330157_Samaritan Medical Center
330158,Good Samaritan Hospital,Suffern,NY,"Not In Any System - ,",Short Term Acute Care,330158_Good Samaritan Hospital
330159,Upstate University Hospital - Community Campus,Syracuse,NY,"Upstate Medical University - Syracuse, NY",Short Term Acute Care,330159_Upstate University Hospital - Community Campus
33015F,VA Hudson Valley Health Care System - Montrose Campus,Montrose,NY,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,33015F_VA Hudson Valley Health Care System - Montrose Campus
330160,Staten Island University Hospital,Staten Island,NY,"Northwell Health - Great Neck, NY",Short Term Acute Care,330160_Staten Island University Hospital
330162,Northern Westchester Hospital,Mount Kisco,NY,"Northwell Health - Great Neck, NY",Short Term Acute Care,330162_Northern Westchester Hospital
330163,Eastern Niagara Hospital-Lockport,Lockport,NY,"Not In Any System - ,",Short Term Acute Care,330163_Eastern Niagara Hospital-Lockport
330164,Highland Hospital,Rochester,NY,"The University of Rochester Medical Center - Rochester, NY",Short Term Acute Care,330164_Highland Hospital
330166,Westfield Memorial Hospital,Westfield,NY,"Allegheny Health Network - Pittsburgh, PA",Short Term Acute Care,330166_Westfield Memorial Hospital
330167,NYU Langone Hospital - Long Island,Mineola,NY,"NYU Langone Health - New York, NY",Short Term Acute Care,330167_NYU Langone Hospital - Long Island
330169,Mount Sinai Beth Israel,New York,NY,"Mount Sinai Health System - New York, NY",Short Term Acute Care,330169_Mount Sinai Beth Israel
33016F,James J. Peters VA Medical Center,Bronx,NY,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,33016F_James J. Peters VA Medical Center
330175,Guthrie Cortland Regional Medical Center,Cortland,NY,"Guthrie Healthcare System - Sayre, PA",Short Term Acute Care,330175_Guthrie Cortland Regional Medical Center
33017F,VA New York Harbor Healthcare System - Manhattan Campus,New York,NY,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,33017F_VA New York Harbor Healthcare System - Manhattan Campus
330180,Samaritan Hospital,Troy,NY,"Trinity Health - Livonia, MI",Short Term Acute Care,330180_Samaritan Hospital
330181,Glen Cove Hospital,Glen Cove,NY,"Northwell Health - Great Neck, NY",Short Term Acute Care,330181_Glen Cove Hospital
330182,Catholic Health Saint Francis Hospital & Heart Center,Roslyn,NY,"Catholic Health - Rockville Centre, NY",Short Term Acute Care,330182_Catholic Health Saint Francis Hospital & Heart Center
330184,Montefiore New Rochelle Hospital,New Rochelle,NY,"Montefiore Health System - Bronx, NY",Short Term Acute Care,330184_Montefiore New Rochelle Hospital
330185,Mather Hospital,Port Jefferson,NY,"Northwell Health - Great Neck, NY",Short Term Acute Care,330185_Mather Hospital
330188,Mount Saint Mary's Hospital,Lewiston,NY,"Catholic Health System - Buffalo, NY",Short Term Acute Care,330188_Mount Saint Mary's Hospital
330191,Glens Falls Hospital,Glens Falls,NY,"Not In Any System - ,",Short Term Acute Care,330191_Glens Falls Hospital
330193,Flushing Hospital Medical Center,Flushing,NY,"Not In Any System - ,",Short Term Acute Care,330193_Flushing Hospital Medical Center
330194,Maimonides Medical Center,Brooklyn,NY,"Not In Any System - ,",Short Term Acute Care,330194_Maimonides Medical Center
330195,Long Island Jewish Medical Center,New Hyde Park,NY,"Northwell Health - Great Neck, NY",Short Term Acute Care,330195_Long Island Jewish Medical Center
330196,NYC Health + Hospitals Coney Island,Brooklyn,NY,"NYC Health + Hospitals - New York, NY",Short Term Acute Care,330196_NYC Health + Hospitals Coney Island
330197,Canton-Potsdam Hospital,Potsdam,NY,"St. Lawrence Health System - Potsdam, NY",Short Term Acute Care,330197_Canton-Potsdam Hospital
330198,Mount Sinai South Nassau,Oceanside,NY,"Mount Sinai Health System - New York, NY",Short Term Acute Care,330198_Mount Sinai South Nassau
330199,NYC Health + Hospitals Metropolitan,New York,NY,"NYC Health + Hospitals - New York, NY",Short Term Acute Care,330199_NYC Health + Hospitals Metropolitan
330202,NYC Health + Hospitals Kings County,Brooklyn,NY,"NYC Health + Hospitals - New York, NY",Short Term Acute Care,330202_NYC Health + Hospitals Kings County
330203,Crouse Hospital,Syracuse,NY,"Not In Any System - ,",Short Term Acute Care,330203_Crouse Hospital
330204,NYC Health + Hospitals Bellevue,New York,NY,"NYC Health + Hospitals - New York, NY",Short Term Acute Care,330204_NYC Health + Hospitals Bellevue
330205,Saint Anthony Community Hospital,Warwick,NY,"Not In Any System - ,",Short Term Acute Care,330205_Saint Anthony Community Hospital
330208,Saint John's Riverside Hospital - Andrus Pavilion,Yonkers,NY,"St. John's Riverside Hospital - Westchester, NY",Short Term Acute Care,330208_Saint John's Riverside Hospital - Andrus Pavilion
33020F,VA New York Harbor Healthcare System - Brooklyn Campus,Brooklyn,NY,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,33020F_VA New York Harbor Healthcare System - Brooklyn Campus
330211,Claxton-Hepburn Medical Center,Ogdensburg,NY,"Not In Any System - ,",Short Term Acute Care,330211_Claxton-Hepburn Medical Center
330214,NYU Langone Tisch Hospital,New York,NY,"NYU Langone Health - New York, NY",Short Term Acute Care,330214_NYU Langone Tisch Hospital
330215,Rome Memorial Hospital,Rome,NY,"Not In Any System - ,",Short Term Acute Care,330215_Rome Memorial Hospital
330218,Oswego Hospital,Oswego,NY,"Not In Any System - ,",Short Term Acute Care,330218_Oswego Hospital
330219,Erie County Medical Center,Buffalo,NY,"Not In Any System - ,",Short Term Acute Care,330219_Erie County Medical Center
330221,Wyckoff Heights Medical Center,Brooklyn,NY,"Not In Any System - ,",Short Term Acute Care,330221_Wyckoff Heights Medical Center
330222,Saratoga Hospital Campus,Saratoga Springs,NY,"Not In Any System - ,",Short Term Acute Care,330222_Saratoga Hospital Campus
330223,Massena Hospital,Massena,NY,"St. Lawrence Health System - Potsdam, NY",Short Term Acute Care,330223_Massena Hospital
330224,HealthAlliance Hospital Mary's Avenue Campus,Kingston,NY,"Westchester Medical Center Health Network - Valhalla, NY",Short Term Acute Care,330224_HealthAlliance Hospital Mary's Avenue Campus
330226,Unity Hospital,Rochester,NY,"Rochester Regional Health System - Rochester, NY",Short Term Acute Care,330226_Unity Hospital
330229,Brooks- TLC Hospital System,Dunkirk,NY,"Not In Any System - ,",Short Term Acute Care,330229_Brooks- TLC Hospital System
330231,NYC Health + Hospitals Queens,Jamaica,NY,"NYC Health + Hospitals - New York, NY",Short Term Acute Care,330231_NYC Health + Hospitals Queens
330233,Brookdale University Hospital Hospital Medical Center,Brooklyn,NY,"One Brooklyn Health System - Brooklyn, NY",Short Term Acute Care,330233_Brookdale University Hospital Hospital Medical Center
330234,Westchester Medical Center,Valhalla,NY,"Westchester Medical Center Health Network - Valhalla, NY",Short Term Acute Care,330234_Westchester Medical Center
330235,Auburn Community Hospital,Auburn,NY,"Not In Any System - ,",Short Term Acute Care,330235_Auburn Community Hospital
330236,NewYork-Presbyterian Brooklyn Methodist Hospital,Brooklyn,NY,"New York-Presbyterian Healthcare System - New York, NY",Short Term Acute Care,330236_NewYork-Presbyterian Brooklyn Methodist Hospital
330238,UR Medicine Noyes Health,Dansville,NY,"The University of Rochester Medical Center - Rochester, NY",Short Term Acute Care,330238_UR Medicine Noyes Health
330239,UPMC Chautauqua,Jamestown,NY,"University of Pittsburgh Medical Center (UPMC) - Pittsburgh, PA",Short Term Acute Care,330239_UPMC Chautauqua
330240,NYC Health + Hospitals Harlem,New York,NY,"NYC Health + Hospitals - New York, NY",Short Term Acute Care,330240_NYC Health + Hospitals Harlem
330241,Upstate University Hospital,Syracuse,NY,"Upstate Medical University - Syracuse, NY",Short Term Acute Care,330241_Upstate University Hospital
330245,MVHS - St. Elizabeth Campus,Utica,NY,"Mohawk Valley Health System - New Hartford, NY",Short Term Acute Care,330245_MVHS - St. Elizabeth Campus
330246,Catholic Health Saint Charles Hospital,Port Jefferson,NY,"Catholic Health - Rockville Centre, NY",Short Term Acute Care,330246_Catholic Health Saint Charles Hospital
33024F,Syracuse VA Medical Center,Syracuse,NY,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,33024F_Syracuse VA Medical Center
330250,The University of Vermont Health Network Champlain Valley Physicians Hospital,Plattsburgh,NY,"The University of Vermont Health Network - Burlington, VT",Short Term Acute Care,330250_The University of Vermont Health Network Champlain Valley Physicians Hospital
330258,Mount Sinai  Queens,Astoria,NY,"Mount Sinai Health System - New York, NY",Short Term Acute Care,330258_Mount Sinai  Queens
330259,Catholic Health Mercy Hospital,Rockville Centre,NY,"Catholic Health - Rockville Centre, NY",Short Term Acute Care,330259_Catholic Health Mercy Hospital
33025F,Keller Army Community Hospital,West Point,NY,"TRICARE - Falls Church, VA",Short Term Acute Care,33025F_Keller Army Community Hospital
330261,Phelps Hospital,Sleepy Hollow,NY,"Northwell Health - Great Neck, NY",Short Term Acute Care,330261_Phelps Hospital
330264,Montefiore St. Luke's Cornwall,Newburgh,NY,"Montefiore Health System - Bronx, NY",Short Term Acute Care,330264_Montefiore St. Luke's Cornwall
330265,Clifton Springs Hospital and Clinic,Clifton Springs,NY,"Rochester Regional Health System - Rochester, NY",Short Term Acute Care,330265_Clifton Springs Hospital and Clinic
